"iter","stock","param","value"
1,1,"alpha",4.68620357475538
1,2,"alpha",5.54630569086355
1,3,"alpha",6.42676817111403
1,4,"alpha",2.58613440328213
1,5,"alpha",3.133860104837
1,6,"alpha",4.1005816322007
1,7,"alpha",1.90160524340118
1,8,"alpha",3.18794310306754
1,9,"alpha",2.10193546616761
1,10,"alpha",3.15319615129199
1,11,"alpha",3.79285277394392
1,12,"alpha",4.53815556007891
1,1,"beta",0.000260515034492106
1,2,"beta",8.92628679022077e-05
1,3,"beta",0.000483062431886501
1,4,"beta",0.000138178354327592
1,5,"beta",0.000535500085621258
1,6,"beta",9.61719435231722e-05
1,7,"beta",0.000421452103719985
1,8,"beta",8.21819469010361e-05
1,9,"beta",0.000152478790979576
1,10,"beta",0.000783867199315973
1,11,"beta",0.00019506637986309
1,12,"beta",0.00107368332472429
1,1,"U_msy",0.608036423
1,2,"U_msy",0.653438134
1,3,"U_msy",0.689831669
1,4,"U_msy",0.414638529
1,5,"U_msy",0.48284768
1,6,"U_msy",0.569145046
1,7,"U_msy",0.294231043
1,8,"U_msy",0.488658432
1,9,"U_msy",0.334956198
1,10,"U_msy",0.484941601
1,11,"U_msy",0.545206543
1,12,"U_msy",0.598921802
1,1,"S_msy",2333.978245
1,2,"S_msy",7320.380236
1,3,"S_msy",1428.038331
1,4,"S_msy",3000.748786
1,5,"S_msy",901.6761957
1,6,"S_msy",5917.994637
1,7,"S_msy",698.1363728
1,8,"S_msy",5946.055678
1,9,"S_msy",2196.739598
1,10,"S_msy",618.6527532
1,11,"S_msy",2794.979552
1,12,"S_msy",557.8197856
1,NA,"S_obj",56817.4088076421
1,NA,"U_obj",0.33
1,NA,"U_MSY",0.55
1,NA,"S_MSY",31661.5048846044
2,1,"alpha",4.29832049353332
2,2,"alpha",3.24619971035139
2,3,"alpha",2.95031489090206
2,4,"alpha",1.97285071847487
2,5,"alpha",1.99564131980562
2,6,"alpha",3.12677570225455
2,7,"alpha",5.59339119427541
2,8,"alpha",2.57921705907525
2,9,"alpha",5.55567021022457
2,10,"alpha",2.85270991827852
2,11,"alpha",2.60821790614659
2,12,"alpha",1.91672072808726
2,1,"beta",0.000544317748973258
2,2,"beta",9.71090448430032e-05
2,3,"beta",0.00178692735231688
2,4,"beta",4.33033299102021e-05
2,5,"beta",0.000454836854811548
2,6,"beta",0.000178799633462349
2,7,"beta",0.000216505630760222
2,8,"beta",8.10142053336913e-05
2,9,"beta",6.5964425151468e-05
2,10,"beta",0.000135939838220994
2,11,"beta",0.000290244508591738
2,12,"beta",0.000309301702289582
2,1,"U_msy",0.583163395
2,2,"U_msy",0.4947611
2,3,"U_msy",0.462005313
2,4,"U_msy",0.30935305
2,5,"U_msy",0.314035728
